County_Forest_NH,Cost_Forest_NH,Qty_Forest_NH,County_Forest_H,Cost_Forest_H,Qty_Forest_H,County_Soil,Cost_Soil,Qty_Soil,County_MinCost,Cost_MinCost,Qty_MinCost,County_MaxQty,Cost_MaxQty,Qty_MaxQty,County_CE,Cost_CE,Qty_CE,Revenues_CE
"RICHMOND COUNTY, VA",55.97077709,877869803.9,"SURRY COUNTY, VA",40.08869315,884501261.8,"CRAWFORD COUNTY, WI",14.68430361,239471798.1,"LOGAN COUNTY, OK",12.30795644,458502486.5,"MARSHALL COUNTY, TN",42.57030798,931379281.6,"NEZ PERCE COUNTY, ID",23.2998336,786810118.8,18332544846
"PALO PINTO COUNTY, TX",56.03552843,878485956.6,"HENRY COUNTY, OH",40.0919499,885378045.7,"ALPENA COUNTY, MI",14.69496165,239513287.6,"JEFFERSON COUNTY, MO",12.31097032,458525721.4,"MIDDLESEX COUNTY, VA",42.59638988,931462154.4,"LINCOLN COUNTY, KS",23.32186383,787954793.1,18376574387
"TERREBONNE PARISH, LA",56.05445902,878571803.6,"STUTSMAN COUNTY, ND",40.09257229,885405666.6,"FOND DU LAC COUNTY, WI",14.69496165,239973005.3,"YELLOW MEDICINE COUNTY, MN",12.33071211,459325160.6,"HILLSDALE COUNTY, MI",42.65943376,932275531.1,"TREMPEALEAU COUNTY, WI",23.3300564,788602665,18398144654
"BARRY COUNTY, MO",56.07879778,879122071,"FAYETTE COUNTY, OH",40.12050729,886199421.6,"CLAY COUNTY, KS",14.71864338,240420344.5,"ONEIDA COUNTY, ID",12.33197872,459841607,"LEELANAU COUNTY, MI",42.67515563,932471475.8,"ORANGE COUNTY, IN",23.34782504,788688367.8,18414158024
"TRAILL COUNTY, ND",56.09927185,880245509,"TAYLOR COUNTY, KY",40.14044392,886427953.1,"CALHOUN COUNTY, IA",14.71886227,241083870.7,"GREENWOOD COUNTY, KS",12.35409919,459902048.9,"LAWRENCE COUNTY, PA",42.67956228,932850805.8,"FOUNTAIN COUNTY, IN",23.36914112,789038050.1,18439141542
"GARRARD COUNTY, KY",56.12263127,880414671.6,"BATES COUNTY, MO",40.22137181,887371700.4,"NEMAHA COUNTY, KS",14.72692736,241566568.3,"CHARLES MIX COUNTY, SD",12.35953765,460082396.5,"COFFEE COUNTY, TN",42.72629215,933226658.8,"BOYD COUNTY, NE",23.41669119,789673740.1,18491546110
"COMANCHE COUNTY, TX",56.16144468,881106274.5,"LAWRENCE COUNTY, TN",40.23130843,887886213.5,"ELLSWORTH COUNTY, KS",14.73473146,241940480.3,"DU PAGE COUNTY, IL",12.37211514,460091970.9,"MISSISSIPPI COUNTY, MO",42.72700529,933829688.4,"FULTON COUNTY, PA",23.42422232,789941164.2,18503757450
"CASWELL COUNTY, NC",56.22181535,881273021.2,"TITUS COUNTY, TX",40.35691545,888229710.7,"RUSH COUNTY, KS",14.73580064,242646096,"WAYNE COUNTY, KY",12.39042489,460309041.7,"CRAWFORD COUNTY, MO",42.79839327,934063270.8,"ONONDAGA COUNTY, NY",23.43011362,790586674.6,18523535615
"AURORA COUNTY, SD",56.23845135,881770730,"RANSOM COUNTY, ND",40.37704616,888405943.3,"PERRY COUNTY, IL",14.73758539,242882348,"MARSHALL COUNTY, IL",12.39321234,460683300.5,"WAYNE COUNTY, OH",42.82018447,935145155,"SCOTT COUNTY, VA",23.46574664,790821127.9,18557208221
"SALINE COUNTY, MO",56.24143265,882660772,"SMITH COUNTY, TN",40.37897566,888605545,"HOUGHTON COUNTY, MI",14.73758539,242904566.5,"OSAGE COUNTY, MO",12.39321234,460725277.8,"BARREN COUNTY, KY",42.86560589,935706369.6,"SCHENECTADY COUNTY, NY",23.47342241,790920238.9,18565604861
"CRAIG COUNTY, VA",56.34510038,882704462.1,"FRANKLIN COUNTY, PA",40.38286175,889557607.8,"WASECA COUNTY, MN",14.73758539,243354730.1,"MAHONING COUNTY, OH",12.41452,460819152.5,"HAWKINS COUNTY, TN",42.88361939,936017067,"SAGINAW COUNTY, MI",23.47570468,791429638.2,18579368462
"PERRY COUNTY, MO",56.37627689,883096599.1,"TOWNS COUNTY, GA",40.38748627,889588042.5,"CASS COUNTY, MI",14.74823502,243641375.2,"CLEARWATER COUNTY, MN",12.42517804,460864179,"ORANGE COUNTY, NY",42.88680793,936521154.4,"CHURCHILL COUNTY, NV",23.48215804,791429896.7,18584481913
"MASON COUNTY, KY",56.3808296,883277221.4,"SHERIDAN COUNTY, WY",40.40703305,889745185.8,"ERIE COUNTY, OH",14.74823502,243819916,"GRAHAM COUNTY, AZ",12.43375337,460887020.6,"CHARLES CITY COUNTY, VA",42.96662326,936620785,"GALLATIN COUNTY, IL",23.49701234,791700442.1,18602595058
"JOHNSON COUNTY, NE",56.41592315,883813951.1,"CROOK COUNTY, WY",40.43104668,889881904.3,"WYANDOTTE COUNTY, KS",14.74844548,243850198.6,"POTTAWATOMIE COUNTY, OK",12.43583608,460953819.6,"OCONEE COUNTY, GA",43.01780422,936778440.4,"MADISON COUNTY, MT",23.50744078,792968020.2,18640648773
"BROWN COUNTY, MN",56.42128172,884764577.7,"LUZERNE COUNTY, PA",40.48259362,890156030.7,"WHITE COUNTY, TN",14.75889306,243888829.2,"COOK COUNTY, IL",12.437604,460976180.4,"HOWELL COUNTY, MO",43.0404786,937350112.1,"PARKE COUNTY, IN",23.50767038,793239195.8,18647205547
"LOUDON COUNTY, TN",56.483432,884898180.3,"TRANSYLVANIA COUNTY, NC",40.52285901,890205544.9,"WARREN COUNTY, IL",14.78020913,244435510.1,"FRANKLIN COUNTY, OH",12.45002154,461128864,"FLAGLER COUNTY, FL",43.07435053,937617622.3,"COSTILLA COUNTY, CO",23.54981455,793506739.9,18686936568
